"Kvinder";"2024";"dest";"orig";"0...5";"0...6";"0...7";"0...8";"0...9";"0...10";"0...11";"0...12";"0...13";"0...14"
"Kvinder";2024;"Til København";"Fra Frederiksberg";106;167;248;233;256;225;247;232;172;176
"Kvinder";2024;"Til København";"Fra Dragør";10;18;18;2;4;3;9;4;1;4
"Kvinder";2024;"Til København";"Fra Tårnby";22;47;40;30;29;24;14;20;12;10
"Kvinder";2024;"Til København";"Fra Albertslund";9;28;19;20;20;22;10;7;6;5
"Kvinder";2024;"Til København";"Fra Ballerup";38;43;37;27;18;22;12;11;15;11
"Kvinder";2024;"Til København";"Fra Brøndby";21;29;37;35;19;14;18;21;18;15
"Kvinder";2024;"Til København";"Fra Gentofte";80;136;90;62;49;45;54;37;28;31
"Kvinder";2024;"Til København";"Fra Gladsaxe";49;88;68;67;48;47;39;38;28;26
"Kvinder";2024;"Til København";"Fra Glostrup";10;17;11;14;12;6;8;10;13;6
"Kvinder";2024;"Til København";"Fra Herlev";18;14;22;18;20;14;13;8;5;3
"Kvinder";2024;"Til København";"Fra Hvidovre";31;54;61;52;37;37;20;24;26;19
"Kvinder";2024;"Til København";"Fra Høje-Taastrup";24;42;34;27;12;21;23;13;13;13
"Kvinder";2024;"Til København";"Fra Ishøj";6;18;24;4;15;9;5;6;3;7
"Kvinder";2024;"Til København";"Fra Lyngby-Taarbæk";37;62;58;64;68;49;38;39;24;18
"Kvinder";2024;"Til København";"Fra Rødovre";29;41;43;34;25;16;29;17;28;13
"Kvinder";2024;"Til København";"Fra Vallensbæk";12;21;7;13;16;9;11;2;5;3
"Kvinder";2024;"Til København";"Fra Allerød";14;28;21;11;9;3;6;6;1;4
"Kvinder";2024;"Til København";"Fra Egedal";30;64;32;12;13;8;6;4;3;2
"Kvinder";2024;"Til København";"Fra Fredensborg";26;48;35;15;15;10;10;5;8;9
"Kvinder";2024;"Til København";"Fra Frederikssund";25;28;25;17;11;14;7;4;5;4
"Kvinder";2024;"Til København";"Fra Furesø";30;49;36;15;15;9;6;7;9;8
"Kvinder";2024;"Til København";"Fra Gribskov";17;30;19;13;9;8;7;8;6;5
"Kvinder";2024;"Til København";"Fra Halsnæs";9;13;13;14;3;7;8;3;6;3
"Kvinder";2024;"Til København";"Fra Helsingør";42;69;34;30;15;16;8;16;9;8
"Kvinder";2024;"Til København";"Fra Hillerød";28;49;44;32;15;21;13;10;15;9
"Kvinder";2024;"Til København";"Fra Hørsholm";30;36;15;11;13;8;7;7;5;3
"Kvinder";2024;"Til København";"Fra Rudersdal";58;72;55;27;30;19;16;9;5;9
"Kvinder";2024;"Til København";"Fra Bornholm";18;24;11;5;6;1;2;5;3;8
"Kvinder";2024;"Til København";"Fra Christiansø";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til København";"Fra Greve";36;34;35;19;16;13;10;14;10;3
"Kvinder";2024;"Til København";"Fra Køge";30;38;39;15;21;7;9;6;13;8
"Kvinder";2024;"Til København";"Fra Lejre";20;24;21;13;12;6;6;7;6;2
"Kvinder";2024;"Til København";"Fra Roskilde";45;100;86;61;36;34;30;16;15;13
"Kvinder";2024;"Til København";"Fra Solrød";21;20;18;6;6;2;1;4;3;0
"Kvinder";2024;"Til København";"Fra Faxe";16;15;16;9;6;5;3;3;4;4
"Kvinder";2024;"Til København";"Fra Guldborgsund";22;30;21;10;7;5;4;4;2;4
"Kvinder";2024;"Til København";"Fra Holbæk";24;52;30;15;14;7;10;9;11;7
"Kvinder";2024;"Til København";"Fra Kalundborg";19;19;17;9;11;15;4;7;0;4
"Kvinder";2024;"Til København";"Fra Lolland";7;11;11;5;4;5;5;6;0;1
"Kvinder";2024;"Til København";"Fra Næstved";34;39;36;26;12;14;14;9;11;8
"Kvinder";2024;"Til København";"Fra Odsherred";6;16;3;2;3;2;3;1;4;0
"Kvinder";2024;"Til København";"Fra Ringsted";16;17;13;12;5;6;8;13;6;4
"Kvinder";2024;"Til København";"Fra Slagelse";17;23;33;19;11;7;13;9;5;6
"Kvinder";2024;"Til København";"Fra Sorø";13;16;14;7;8;7;3;2;3;1
"Kvinder";2024;"Til København";"Fra Stevns";11;15;9;5;2;3;1;3;1;1
"Kvinder";2024;"Til København";"Fra Vordingborg";17;27;22;8;5;10;7;9;5;4
"Kvinder";2024;"Til København";"Fra Assens";5;4;8;2;2;0;0;0;2;0
"Kvinder";2024;"Til København";"Fra Faaborg-Midtfyn";4;9;7;4;1;1;3;2;1;1
"Kvinder";2024;"Til København";"Fra Kerteminde";1;6;4;1;1;2;0;0;0;1
"Kvinder";2024;"Til København";"Fra Langeland";3;0;0;1;0;2;1;1;0;0
"Kvinder";2024;"Til København";"Fra Middelfart";4;5;9;8;2;1;2;4;1;2
"Kvinder";2024;"Til København";"Fra Nordfyns";2;1;1;1;2;1;3;1;0;2
"Kvinder";2024;"Til København";"Fra Nyborg";7;11;1;3;2;1;0;1;0;0
"Kvinder";2024;"Til København";"Fra Odense";28;51;60;46;61;57;55;36;37;19
"Kvinder";2024;"Til København";"Fra Svendborg";10;18;21;11;9;5;8;4;3;4
"Kvinder";2024;"Til København";"Fra Ærø";2;1;3;0;0;1;0;1;0;0
"Kvinder";2024;"Til København";"Fra Billund";3;4;3;2;1;3;1;1;2;0
"Kvinder";2024;"Til København";"Fra Esbjerg";12;25;13;4;7;1;3;7;5;6
"Kvinder";2024;"Til København";"Fra Fanø";1;0;1;0;0;0;0;0;0;0
"Kvinder";2024;"Til København";"Fra Fredericia";7;14;4;6;6;6;6;1;2;1
"Kvinder";2024;"Til København";"Fra Haderslev";2;4;7;3;4;3;3;3;0;0
"Kvinder";2024;"Til København";"Fra Kolding";14;23;18;18;12;17;15;12;8;7
"Kvinder";2024;"Til København";"Fra Sønderborg";10;13;11;8;8;6;8;6;0;3
"Kvinder";2024;"Til København";"Fra Tønder";1;3;2;1;2;0;1;0;1;0
"Kvinder";2024;"Til København";"Fra Varde";2;2;1;2;2;1;1;0;1;1
"Kvinder";2024;"Til København";"Fra Vejen";1;3;4;2;2;1;1;0;0;0
"Kvinder";2024;"Til København";"Fra Vejle";4;17;15;12;7;5;7;7;3;6
"Kvinder";2024;"Til København";"Fra Aabenraa";5;8;6;4;2;2;1;0;3;5
"Kvinder";2024;"Til København";"Fra Favrskov";0;2;1;2;1;1;0;1;0;0
"Kvinder";2024;"Til København";"Fra Hedensted";2;0;3;0;2;2;2;1;0;2
"Kvinder";2024;"Til København";"Fra Horsens";1;5;3;5;7;4;5;2;2;2
"Kvinder";2024;"Til København";"Fra Norddjurs";3;1;1;0;0;1;1;0;1;0
"Kvinder";2024;"Til København";"Fra Odder";2;5;2;1;1;1;0;0;1;1
"Kvinder";2024;"Til København";"Fra Randers";6;14;3;6;1;1;7;4;2;2
"Kvinder";2024;"Til København";"Fra Samsø";0;0;1;0;0;1;0;0;0;0
"Kvinder";2024;"Til København";"Fra Silkeborg";5;12;13;12;2;3;5;1;1;2
"Kvinder";2024;"Til København";"Fra Skanderborg";2;2;5;6;5;2;3;2;0;2
"Kvinder";2024;"Til København";"Fra Syddjurs";0;6;3;5;3;0;1;1;6;2
"Kvinder";2024;"Til København";"Fra Aarhus";28;54;83;123;143;153;171;138;77;62
"Kvinder";2024;"Til København";"Fra Herning";4;7;12;6;8;5;3;2;1;1
"Kvinder";2024;"Til København";"Fra Holstebro";3;7;4;4;2;5;2;2;2;1
"Kvinder";2024;"Til København";"Fra Ikast-Brande";3;2;1;5;2;1;3;2;0;1
"Kvinder";2024;"Til København";"Fra Lemvig";0;0;1;2;2;0;0;1;0;0
"Kvinder";2024;"Til København";"Fra Ringkøbing-Skjern";3;4;7;4;4;3;2;1;1;2
"Kvinder";2024;"Til København";"Fra Skive";1;2;1;1;0;3;1;1;1;0
"Kvinder";2024;"Til København";"Fra Struer";1;1;1;2;0;1;1;1;0;0
"Kvinder";2024;"Til København";"Fra Viborg";7;10;5;3;4;7;3;5;4;2
"Kvinder";2024;"Til København";"Fra Brønderslev";3;3;1;1;2;1;0;1;0;2
"Kvinder";2024;"Til København";"Fra Frederikshavn";3;9;3;3;3;0;3;0;3;2
"Kvinder";2024;"Til København";"Fra Hjørring";4;3;2;1;4;2;3;2;0;2
"Kvinder";2024;"Til København";"Fra Jammerbugt";1;2;0;0;2;1;0;1;0;0
"Kvinder";2024;"Til København";"Fra Læsø";1;0;0;0;0;0;0;1;0;1
"Kvinder";2024;"Til København";"Fra Mariagerfjord";0;3;0;0;0;2;1;1;0;0
"Kvinder";2024;"Til København";"Fra Morsø";0;2;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til København";"Fra Rebild";0;2;1;1;0;1;1;1;0;0
"Kvinder";2024;"Til København";"Fra Thisted";4;3;3;1;2;2;0;2;0;0
"Kvinder";2024;"Til København";"Fra Vesthimmerlands";2;1;4;1;1;1;3;1;0;1
"Kvinder";2024;"Til København";"Fra Aalborg";4;27;35;28;38;39;46;36;22;15
"Kvinder";2024;"Til Frederiksberg";"Fra København";89;165;230;252;248;276;262;222;205;174
"Kvinder";2024;"Til Frederiksberg";"Fra Frederiksberg";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Dragør";2;0;4;0;1;0;0;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Tårnby";2;2;4;1;0;0;1;2;0;1
"Kvinder";2024;"Til Frederiksberg";"Fra Albertslund";2;2;3;2;1;5;1;0;1;0
"Kvinder";2024;"Til Frederiksberg";"Fra Ballerup";2;0;4;5;0;0;0;2;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Brøndby";3;2;3;1;4;0;2;3;1;2
"Kvinder";2024;"Til Frederiksberg";"Fra Gentofte";15;14;13;8;10;7;6;6;7;5
"Kvinder";2024;"Til Frederiksberg";"Fra Gladsaxe";4;9;9;7;7;3;6;2;3;3
"Kvinder";2024;"Til Frederiksberg";"Fra Glostrup";2;1;0;4;1;1;0;0;1;1
"Kvinder";2024;"Til Frederiksberg";"Fra Herlev";2;1;1;1;2;1;2;1;1;0
"Kvinder";2024;"Til Frederiksberg";"Fra Hvidovre";5;6;4;2;7;1;6;7;1;1
"Kvinder";2024;"Til Frederiksberg";"Fra Høje-Taastrup";0;2;4;1;1;1;1;2;0;1
"Kvinder";2024;"Til Frederiksberg";"Fra Ishøj";2;0;0;0;0;0;1;0;0;1
"Kvinder";2024;"Til Frederiksberg";"Fra Lyngby-Taarbæk";9;14;18;9;9;8;3;1;2;1
"Kvinder";2024;"Til Frederiksberg";"Fra Rødovre";3;3;4;0;2;2;2;1;4;2
"Kvinder";2024;"Til Frederiksberg";"Fra Vallensbæk";1;3;2;0;2;0;0;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Allerød";5;7;5;4;1;1;1;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Egedal";5;4;2;2;1;1;0;1;1;0
"Kvinder";2024;"Til Frederiksberg";"Fra Fredensborg";6;4;6;3;1;1;1;1;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Frederikssund";5;7;5;4;1;1;1;2;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Furesø";6;14;1;3;4;0;0;2;1;1
"Kvinder";2024;"Til Frederiksberg";"Fra Gribskov";7;3;0;4;2;0;1;0;1;1
"Kvinder";2024;"Til Frederiksberg";"Fra Halsnæs";0;2;0;0;2;0;0;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Helsingør";3;4;3;2;3;3;3;1;1;0
"Kvinder";2024;"Til Frederiksberg";"Fra Hillerød";5;10;3;5;0;1;1;3;4;1
"Kvinder";2024;"Til Frederiksberg";"Fra Hørsholm";6;5;3;2;0;2;0;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Rudersdal";8;21;3;2;4;4;5;1;0;1
"Kvinder";2024;"Til Frederiksberg";"Fra Bornholm";4;1;1;1;0;2;0;2;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Christiansø";0;0;0;0;0;0;1;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Greve";4;1;3;3;1;0;1;1;1;0
"Kvinder";2024;"Til Frederiksberg";"Fra Køge";4;8;6;2;3;1;3;1;1;0
"Kvinder";2024;"Til Frederiksberg";"Fra Lejre";0;5;3;2;0;1;0;0;0;1
"Kvinder";2024;"Til Frederiksberg";"Fra Roskilde";5;16;11;3;3;9;3;2;6;4
"Kvinder";2024;"Til Frederiksberg";"Fra Solrød";0;5;2;3;0;0;1;1;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Faxe";4;3;1;1;1;0;0;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Guldborgsund";1;1;5;0;1;1;0;0;0;1
"Kvinder";2024;"Til Frederiksberg";"Fra Holbæk";4;5;4;1;2;0;2;0;0;1
"Kvinder";2024;"Til Frederiksberg";"Fra Kalundborg";1;2;1;1;3;1;0;1;0;1
"Kvinder";2024;"Til Frederiksberg";"Fra Lolland";3;2;1;1;0;1;0;1;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Næstved";4;3;3;3;2;3;0;2;2;1
"Kvinder";2024;"Til Frederiksberg";"Fra Odsherred";0;0;0;0;1;1;0;0;1;0
"Kvinder";2024;"Til Frederiksberg";"Fra Ringsted";1;1;3;1;1;0;0;1;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Slagelse";4;4;3;2;1;2;1;1;0;2
"Kvinder";2024;"Til Frederiksberg";"Fra Sorø";1;0;1;1;0;1;0;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Stevns";0;3;1;1;1;0;1;0;1;0
"Kvinder";2024;"Til Frederiksberg";"Fra Vordingborg";2;2;0;0;0;0;1;1;0;2
"Kvinder";2024;"Til Frederiksberg";"Fra Assens";0;2;0;2;0;1;0;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Faaborg-Midtfyn";3;1;0;0;1;0;0;0;1;0
"Kvinder";2024;"Til Frederiksberg";"Fra Kerteminde";0;1;1;0;0;0;0;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Langeland";0;1;0;0;0;0;0;1;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Middelfart";0;0;0;2;1;0;0;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Nordfyns";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Nyborg";0;0;0;0;1;0;0;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Odense";4;6;6;7;11;9;8;5;3;4
"Kvinder";2024;"Til Frederiksberg";"Fra Svendborg";1;3;7;2;0;2;1;0;0;1
"Kvinder";2024;"Til Frederiksberg";"Fra Ærø";0;0;1;0;1;0;0;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Billund";1;1;1;0;0;0;0;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Esbjerg";1;2;0;1;2;0;1;0;1;1
"Kvinder";2024;"Til Frederiksberg";"Fra Fanø";1;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Fredericia";2;1;1;1;0;1;0;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Haderslev";0;1;1;1;1;1;0;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Kolding";1;2;2;2;0;1;1;0;1;0
"Kvinder";2024;"Til Frederiksberg";"Fra Sønderborg";2;2;1;1;0;0;0;1;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Tønder";0;0;0;0;0;0;1;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Varde";0;0;1;0;0;1;0;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Vejen";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Vejle";2;2;1;1;1;2;2;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Aabenraa";1;1;0;0;0;0;0;1;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Favrskov";0;1;0;2;1;0;0;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Hedensted";0;1;1;0;0;0;0;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Horsens";0;0;1;1;0;1;0;0;1;0
"Kvinder";2024;"Til Frederiksberg";"Fra Norddjurs";0;2;1;0;0;0;0;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Odder";0;2;0;0;0;0;0;1;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Randers";1;1;1;1;0;1;0;0;0;1
"Kvinder";2024;"Til Frederiksberg";"Fra Samsø";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Silkeborg";2;0;2;0;1;0;2;1;1;0
"Kvinder";2024;"Til Frederiksberg";"Fra Skanderborg";1;2;1;0;1;0;0;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Syddjurs";2;2;1;1;1;1;1;1;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Aarhus";2;8;14;12;9;18;14;13;10;8
"Kvinder";2024;"Til Frederiksberg";"Fra Herning";1;3;2;0;2;0;3;0;0;1
"Kvinder";2024;"Til Frederiksberg";"Fra Holstebro";0;0;3;0;2;0;0;0;0;1
"Kvinder";2024;"Til Frederiksberg";"Fra Ikast-Brande";1;1;0;0;0;0;1;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Lemvig";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Ringkøbing-Skjern";0;1;1;0;0;0;0;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Skive";0;1;0;1;0;0;0;0;0;1
"Kvinder";2024;"Til Frederiksberg";"Fra Struer";0;0;0;0;0;0;0;0;1;0
"Kvinder";2024;"Til Frederiksberg";"Fra Viborg";1;0;1;0;1;1;0;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Brønderslev";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Frederikshavn";1;0;0;0;0;1;0;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Hjørring";0;1;2;0;1;0;1;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Jammerbugt";0;1;0;0;0;0;0;1;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Læsø";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Mariagerfjord";0;0;0;0;0;1;1;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Morsø";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Rebild";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Thisted";1;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Vesthimmerlands";0;0;0;1;0;1;0;0;0;0
"Kvinder";2024;"Til Frederiksberg";"Fra Aalborg";6;2;6;9;6;9;6;3;1;1
"Kvinder";2024;"Til Dragør";"Fra København";3;2;6;4;5;4;3;3;4;7
"Kvinder";2024;"Til Dragør";"Fra Frederiksberg";1;0;1;0;1;0;1;0;0;1
"Kvinder";2024;"Til Dragør";"Fra Dragør";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Tårnby";0;1;3;1;0;0;0;2;0;1
"Kvinder";2024;"Til Dragør";"Fra Albertslund";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Ballerup";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Brøndby";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Gentofte";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Gladsaxe";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Glostrup";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Herlev";0;0;1;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Hvidovre";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Høje-Taastrup";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Ishøj";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Lyngby-Taarbæk";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Rødovre";0;0;0;0;0;0;0;0;0;1
"Kvinder";2024;"Til Dragør";"Fra Vallensbæk";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Allerød";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Egedal";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Fredensborg";0;0;0;0;1;0;1;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Frederikssund";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Furesø";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Gribskov";0;0;0;0;0;0;0;0;0;1
"Kvinder";2024;"Til Dragør";"Fra Halsnæs";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Helsingør";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Hillerød";0;0;0;0;0;0;0;1;0;0
"Kvinder";2024;"Til Dragør";"Fra Hørsholm";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Rudersdal";0;0;0;0;0;0;0;0;1;0
"Kvinder";2024;"Til Dragør";"Fra Bornholm";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Christiansø";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Greve";0;0;0;0;0;0;1;0;0;1
"Kvinder";2024;"Til Dragør";"Fra Køge";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Lejre";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Roskilde";0;0;0;2;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Solrød";1;1;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Faxe";0;0;0;0;0;0;0;0;1;0
"Kvinder";2024;"Til Dragør";"Fra Guldborgsund";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Holbæk";0;0;0;0;0;0;1;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Kalundborg";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Lolland";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Næstved";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Odsherred";0;1;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Ringsted";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Slagelse";0;0;0;0;0;1;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Sorø";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Stevns";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Vordingborg";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Assens";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Faaborg-Midtfyn";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Kerteminde";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Langeland";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Middelfart";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Nordfyns";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Nyborg";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Odense";1;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Svendborg";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Ærø";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Billund";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Esbjerg";0;0;0;1;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Fanø";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Fredericia";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Haderslev";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Kolding";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Sønderborg";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Tønder";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Varde";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Vejen";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Vejle";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Aabenraa";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Favrskov";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Hedensted";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Horsens";0;0;0;0;0;0;1;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Norddjurs";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Odder";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Randers";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Samsø";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Silkeborg";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Skanderborg";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Syddjurs";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Aarhus";0;1;0;0;0;0;0;0;1;0
"Kvinder";2024;"Til Dragør";"Fra Herning";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Holstebro";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Ikast-Brande";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Lemvig";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Ringkøbing-Skjern";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Skive";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Struer";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Viborg";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Brønderslev";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Frederikshavn";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Hjørring";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til Dragør";"Fra Jammerbugt";0;0;0;0;0;0;0;0;0;0
